subject,r1_partner,r1_matrix,r1_aa,r1_ab,r1_ba,r1_bb,r1_payment round,r2_partner,r2_matrix,r2_aa,r2_ab,r2_ba,r2_bb,r2_payment round,r3_partner,r3_matrix,r3_aa,r3_ab,r3_ba,r3_bb,r3_payment round,r4_partner,r4_matrix,r4_aa,r4_ab,r4_ba,r4_bb,r4_payment round
1,2,4,11,10,16,15,0,2,2,9,22,8,19,0,2,3,10,16,12,17,0,2,1,8,28,2,21,1
2,1,4,11,10,16,15,0,1,2,9,22,8,19,0,1,3,10,16,12,17,0,1,1,8,28,2,21,1
3,4,4,11,10,16,15,0,4,1,8,28,2,21,0,4,3,10,16,12,17,1,4,2,9,22,8,19,0
4,3,4,11,10,16,15,0,3,1,8,28,2,21,0,3,3,10,16,12,17,1,3,2,9,22,8,19,0
5,6,3,10,16,12,17,1,6,2,9,22,8,19,0,6,4,11,10,16,15,0,6,1,8,28,2,21,0
6,5,3,10,16,12,17,1,5,2,9,22,8,19,0,5,4,11,10,16,15,0,5,1,8,28,2,21,0
7,8,3,10,16,12,17,0,8,4,11,10,16,15,1,8,2,9,22,8,19,0,8,1,8,28,2,21,0
8,7,3,10,16,12,17,0,7,4,11,10,16,15,1,7,2,9,22,8,19,0,7,1,8,28,2,21,0
9,10,2,9,22,8,19,1,10,4,11,10,16,15,0,10,1,8,28,2,21,0,10,3,10,16,12,17,0
10,9,2,9,22,8,19,1,9,4,11,10,16,15,0,9,1,8,28,2,21,0,9,3,10,16,12,17,0
11,12,3,10,16,12,17,0,12,2,9,22,8,19,0,12,1,8,28,2,21,1,12,4,11,10,16,15,0
12,11,3,10,16,12,17,0,11,2,9,22,8,19,0,11,1,8,28,2,21,1,11,4,11,10,16,15,0
13,14,2,9,22,8,19,0,14,4,11,10,16,15,1,14,1,8,28,2,21,0,14,3,10,16,12,17,0
14,13,2,9,22,8,19,0,13,4,11,10,16,15,1,13,1,8,28,2,21,0,13,3,10,16,12,17,0
15,16,4,11,10,16,15,0,16,1,8,28,2,21,1,16,3,10,16,12,17,0,16,2,9,22,8,19,0
16,15,4,11,10,16,15,0,15,1,8,28,2,21,1,15,3,10,16,12,17,0,15,2,9,22,8,19,0
17,18,1,8,28,2,21,1,18,4,11,10,16,15,0,18,2,9,22,8,19,0,18,3,10,16,12,17,0
18,17,1,8,28,2,21,1,17,4,11,10,16,15,0,17,2,9,22,8,19,0,17,3,10,16,12,17,0
19,20,1,8,28,2,21,0,20,3,10,16,12,17,1,20,4,11,10,16,15,0,20,2,9,22,8,19,0
20,19,1,8,28,2,21,0,19,3,10,16,12,17,1,19,4,11,10,16,15,0,19,2,9,22,8,19,0
21,22,1,8,28,2,21,0,22,3,10,16,12,17,0,22,4,11,10,16,15,0,22,2,9,22,8,19,1
22,21,1,8,28,2,21,0,21,3,10,16,12,17,0,21,4,11,10,16,15,0,21,2,9,22,8,19,1
23,24,3,10,16,12,17,0,24,2,9,22,8,19,0,24,1,8,28,2,21,0,24,4,11,10,16,15,1
24,23,3,10,16,12,17,0,23,2,9,22,8,19,0,23,1,8,28,2,21,0,23,4,11,10,16,15,1
